Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes
31,Azerbaijan,2015,Capital city population (thousands),Baku,,"2,206",Including communities under the authority of the Town Council.
31,Azerbaijan,2015,Capital city population (as a percentage of total population),Baku,,22.9,Including communities under the authority of the Town Council.
31,Azerbaijan,2015,Capital city population (as a percentage of total urban population),Baku,,41.9,Including communities under the authority of the Town Council.
31,Azerbaijan,2018,Urban population (percent),,,55.7,Including Nagorno-Karabakh.
31,Azerbaijan,2018,Capital city population (thousands),Baku,,"2,286",Including communities under the authority of the Town Council.
44,Bahamas,2005,Urban population (percent),,,82.2,
44,Bahamas,2005,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
44,Bahamas,2005,Rural population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
44,Bahamas,2010,Urban population (percent),,,82.4,
44,Bahamas,2010,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
44,Bahamas,2010,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
44,Bahamas,2015,Urban population (percent),,,82.7,
44,Bahamas,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
44,Bahamas,2015,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
44,Bahamas,2018,Urban population (percent),,,83,
44,Bahamas,2018,Capital city population (thousands),Nassau,,280,
48,Bahrain,2005,Urban population (percent),,,88.4,
48,Bahrain,2005,Urban population (percent growth rate per annum),,,5.8,Data refers to a 5-year period preceding the reference year.
48,Bahrain,2005,Rural population (percent growth rate per annum),,,5.7,Data refers to a 5-year period preceding the reference year.
48,Bahrain,2005,Capital city population (thousands),Manama,,198,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2005,Capital city population (as a percentage of total population),Manama,,22.3,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2005,Capital city population (as a percentage of total urban population),Manama,,25.2,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2010,Urban population (percent),,,88.6,
48,Bahrain,2010,Urban population (percent growth rate per annum),,,6.7,Data refers to a 5-year period preceding the reference year.
48,Bahrain,2010,Rural population (percent growth rate per annum),,,6.3,Data refers to a 5-year period preceding the reference year.
48,Bahrain,2010,Capital city population (thousands),Manama,,292,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2010,Capital city population (as a percentage of total population),Manama,,23.5,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2010,Capital city population (as a percentage of total urban population),Manama,,26.6,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2015,Urban population (percent),,,89,
48,Bahrain,2015,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
48,Bahrain,2015,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
48,Bahrain,2015,Capital city population (thousands),Manama,,441,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2015,Capital city population (as a percentage of total population),Manama,,32.1,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2015,Capital city population (as a percentage of total urban population),Manama,,36.1,Refers to the urban area of the municipality of Al-Manamah.
48,Bahrain,2018,Urban population (percent),,,89.3,
48,Bahrain,2018,Capital city population (thousands),Manama,,565,Refers to the urban area of the municipality of Al-Manamah.
50,Bangladesh,2005,Urban population (percent),,,26.8,
50,Bangladesh,2005,Urban population (percent growth rate per annum),,,4.3,Data refers to a 5-year period preceding the reference year.
50,Bangladesh,2005,Rural population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.
50,Bangladesh,2005,Capital city population (thousands),Dhaka,,"12,331",Mega city.
50,Bangladesh,2005,Capital city population (as a percentage of total population),Dhaka,,8.6,Mega city.
50,Bangladesh,2005,Capital city population (as a percentage of total urban population),Dhaka,,32.1,Mega city.
50,Bangladesh,2010,Urban population (percent),,,30.5,
50,Bangladesh,2010,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
50,Bangladesh,2010,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
50,Bangladesh,2010,Capital city population (thousands),Dhaka,,"14,731",Mega city.
50,Bangladesh,2010,Capital city population (as a percentage of total population),Dhaka,,9.7,Mega city.
50,Bangladesh,2010,Capital city population (as a percentage of total urban population),Dhaka,,31.8,Mega city.
50,Bangladesh,2015,Urban population (percent),,,34.3,
50,Bangladesh,2015,Urban population (percent growth rate per annum),,,3.5,Data refers to a 5-year period preceding the reference year.
50,Bangladesh,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
50,Bangladesh,2015,Capital city population (thousands),Dhaka,,"17,597",Mega city.
50,Bangladesh,2015,Capital city population (as a percentage of total population),Dhaka,,10.9,Mega city.
50,Bangladesh,2015,Capital city population (as a percentage of total urban population),Dhaka,,31.8,Mega city.
50,Bangladesh,2018,Urban population (percent),,,36.6,
50,Bangladesh,2018,Capital city population (thousands),Dhaka,,"19,578",Mega city.
52,Barbados,2005,Urban population (percent),,,32.8,
52,Barbados,2005,Urban population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
52,Barbados,2005,Rural population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
52,Barbados,2010,Urban population (percent),,,31.9,
52,Barbados,2010,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
52,Barbados,2010,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
52,Barbados,2015,Urban population (percent),,,31.2,
52,Barbados,2015,Urban population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
52,Barbados,2015,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.
52,Barbados,2018,Urban population (percent),,,31.1,
52,Barbados,2018,Capital city population (thousands),Bridgetown,,89,
112,Belarus,2005,Urban population (percent),,,72.4,
112,Belarus,2005,Urban population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
112,Belarus,2005,Rural population (percent growth rate per annum),,,-2.3,Data refers to a 5-year period preceding the reference year.
112,Belarus,2005,Capital city population (thousands),Minsk,,"1,775",Including communities under the authority of the Town Council.
112,Belarus,2005,Capital city population (as a percentage of total population),Minsk,,18.4,Including communities under the authority of the Town Council.
112,Belarus,2005,Capital city population (as a percentage of total urban population),Minsk,,25.5,Including communities under the authority of the Town Council.
112,Belarus,2010,Urban population (percent),,,74.7,
112,Belarus,2010,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
112,Belarus,2010,Rural population (percent growth rate per annum),,,-2.1,Data refers to a 5-year period preceding the reference year.
112,Belarus,2010,Capital city population (thousands),Minsk,,"1,850",Including communities under the authority of the Town Council.
112,Belarus,2010,Capital city population (as a percentage of total population),Minsk,,19.5,Including communities under the authority of the Town Council.
112,Belarus,2010,Capital city population (as a percentage of total urban population),Minsk,,26.2,Including communities under the authority of the Town Council.
112,Belarus,2015,Urban population (percent),,,77.2,
112,Belarus,2015,Urban population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
112,Belarus,2015,Rural population (percent growth rate per annum),,,-2.1,Data refers to a 5-year period preceding the reference year.
112,Belarus,2015,Capital city population (thousands),Minsk,,"1,945",Including communities under the authority of the Town Council.
112,Belarus,2015,Capital city population (as a percentage of total population),Minsk,,20.5,Including communities under the authority of the Town Council.
112,Belarus,2015,Capital city population (as a percentage of total urban population),Minsk,,26.6,Including communities under the authority of the Town Council.
112,Belarus,2018,Urban population (percent),,,78.6,
112,Belarus,2018,Capital city population (thousands),Minsk,,"2,005",Including communities under the authority of the Town Council.
56,Belgium,2005,Urban population (percent),,,97.4,
56,Belgium,2005,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
56,Belgium,2005,Rural population (percent growth rate per annum),,,-1.5,Data refers to a 5-year period preceding the reference year.
56,Belgium,2005,Capital city population (thousands),Brussels,,"1,853","Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2005,Capital city population (as a percentage of total population),Brussels,,17.6,"Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2005,Capital city population (as a percentage of total urban population),Brussels,,18,"Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2010,Urban population (percent),,,97.7,
56,Belgium,2010,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
56,Belgium,2010,Rural population (percent growth rate per annum),,,-1.3,Data refers to a 5-year period preceding the reference year.
56,Belgium,2010,Capital city population (thousands),Brussels,,"1,926","Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2010,Capital city population (as a percentage of total population),Brussels,,17.6,"Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2010,Capital city population (as a percentage of total urban population),Brussels,,18,"Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2015,Urban population (percent),,,97.9,
56,Belgium,2015,Urban population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
56,Belgium,2015,Rural population (percent growth rate per annum),,,-1.4,Data refers to a 5-year period preceding the reference year.
56,Belgium,2015,Capital city population (thousands),Brussels,,"2,002","Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2015,Capital city population (as a percentage of total population),Brussels,,17.7,"Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2015,Capital city population (as a percentage of total urban population),Brussels,,18.1,"Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
56,Belgium,2018,Urban population (percent),,,98,
56,Belgium,2018,Capital city population (thousands),Brussels,,"2,050","Refers to the population of Brussels-Capital Region and ""communes"" of the agglomeration and suburbs."
84,Belize,2005,Urban population (percent),,,45.3,
84,Belize,2005,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
84,Belize,2005,Rural population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
84,Belize,2010,Urban population (percent),,,45.2,
84,Belize,2010,Urban population (percent growth rate per annum),,,2.5,Data refers to a 5-year period preceding the reference year.
84,Belize,2010,Rural population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
84,Belize,2015,Urban population (percent),,,45.4,
84,Belize,2015,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
84,Belize,2015,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
84,Belize,2018,Urban population (percent),,,45.7,
84,Belize,2018,Capital city population (thousands),Belmopan,,23,
204,Benin,2005,Urban population (percent),,,40.5,
204,Benin,2005,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.
204,Benin,2005,Rural population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
204,Benin,2010,Urban population (percent),,,43.1,
204,Benin,2010,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.
204,Benin,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
204,Benin,2015,Urban population (percent),,,45.7,
204,Benin,2015,Urban population (percent growth rate per annum),,,4,Data refers to a 5-year period preceding the reference year.
204,Benin,2015,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
204,Benin,2018,Urban population (percent),,,47.3,
204,Benin,2018,Capital city population (thousands),Porto-Novo,Porto-Novo is the constitutional capital and Cotonou is the economic capital.,285,
60,Bermuda,2005,Urban population (percent),,,100,
60,Bermuda,2005,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
60,Bermuda,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
60,Bermuda,2010,Urban population (percent),,,100,
60,Bermuda,2010,Urban population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
60,Bermuda,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
60,Bermuda,2015,Urban population (percent),,,100,
60,Bermuda,2015,Urban population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
60,Bermuda,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
60,Bermuda,2018,Urban population (percent),,,100,
60,Bermuda,2018,Capital city population (thousands),Hamilton,,10,
64,Bhutan,2005,Urban population (percent),,,31,
64,Bhutan,2005,Urban population (percent growth rate per annum),,,6.7,Data refers to a 5-year period preceding the reference year.
64,Bhutan,2005,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
64,Bhutan,2010,Urban population (percent),,,34.8,
64,Bhutan,2010,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
64,Bhutan,2010,Rural population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.
64,Bhutan,2015,Urban population (percent),,,38.7,
64,Bhutan,2015,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
64,Bhutan,2015,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
64,Bhutan,2018,Urban population (percent),,,40.9,
64,Bhutan,2018,Capital city population (thousands),Thimphu,,203,
68,Bolivia (Plurin. State of),2005,Urban population (percent),,,64.2,
68,Bolivia (Plurin. State of),2005,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
68,Bolivia (Plurin. State of),2005,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.
68,Bolivia (Plurin. State of),2010,Urban population (percent),,,66.4,
68,Bolivia (Plurin. State of),2010,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
68,Bolivia (Plurin. State of),2010,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
68,Bolivia (Plurin. State of),2015,Urban population (percent),,,68.4,
68,Bolivia (Plurin. State of),2015,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
68,Bolivia (Plurin. State of),2015,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
68,Bolivia (Plurin. State of),2018,Urban population (percent),,,69.4,
68,Bolivia (Plurin. State of),2018,Capital city population (thousands),Sucre,La Paz is the seat of government and Sucre is the constitutional capital.,278,
535,"Bonaire, St. Eustatius & Saba",2005,Urban population (percent),,,74.8,
535,"Bonaire, St. Eustatius & Saba",2005,Urban population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
535,"Bonaire, St. Eustatius & Saba",2005,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
535,"Bonaire, St. Eustatius & Saba",2010,Urban population (percent),,,74.7,
535,"Bonaire, St. Eustatius & Saba",2010,Urban population (percent growth rate per annum),,,7.5,Data refers to a 5-year period preceding the reference year.
535,"Bonaire, St. Eustatius & Saba",2010,Rural population (percent growth rate per annum),,,7.5,Data refers to a 5-year period preceding the reference year.
535,"Bonaire, St. Eustatius & Saba",2015,Urban population (percent),,,74.8,
535,"Bonaire, St. Eustatius & Saba",2015,Urban population (percent growth rate per annum),,,3.2,Data refers to a 5-year period preceding the reference year.
535,"Bonaire, St. Eustatius & Saba",2015,Rural population (percent growth rate per annum),,,3.2,Data refers to a 5-year period preceding the reference year.
535,"Bonaire, St. Eustatius & Saba",2018,Urban population (percent),,,74.9,
535,"Bonaire, St. Eustatius & Saba",2018,Capital city population (thousands),Kralendijk,,11,Refers to the island of Bonaire.
70,Bosnia and Herzegovina,2005,Urban population (percent),,,44,
70,Bosnia and Herzegovina,2005,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
70,Bosnia and Herzegovina,2005,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
70,Bosnia and Herzegovina,2005,Capital city population (thousands),Sarajevo,,342,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2005,Capital city population (as a percentage of total population),Sarajevo,,9,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2005,Capital city population (as a percentage of total urban population),Sarajevo,,20.6,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2010,Urban population (percent),,,45.6,
70,Bosnia and Herzegovina,2010,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
70,Bosnia and Herzegovina,2010,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.
70,Bosnia and Herzegovina,2010,Capital city population (thousands),Sarajevo,,342,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2010,Capital city population (as a percentage of total population),Sarajevo,,9.2,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2010,Capital city population (as a percentage of total urban population),Sarajevo,,20.2,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2015,Urban population (percent),,,47.2,
70,Bosnia and Herzegovina,2015,Urban population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
70,Bosnia and Herzegovina,2015,Rural population (percent growth rate per annum),,,-1.6,Data refers to a 5-year period preceding the reference year.
70,Bosnia and Herzegovina,2015,Capital city population (thousands),Sarajevo,,342,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2015,Capital city population (as a percentage of total population),Sarajevo,,9.7,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2015,Capital city population (as a percentage of total urban population),Sarajevo,,20.5,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
70,Bosnia and Herzegovina,2018,Urban population (percent),,,48.2,
70,Bosnia and Herzegovina,2018,Capital city population (thousands),Sarajevo,,343,"Refers to the municipalities of Stari Grad Sarajevo, Centar Sarajevo, Novo Sarajevo, Novi Grad Sarajevo and Ilidza."
72,Botswana,2005,Urban population (percent),,,55.9,
72,Botswana,2005,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
72,Botswana,2005,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.
72,Botswana,2010,Urban population (percent),,,62.4,
72,Botswana,2010,Urban population (percent growth rate per annum),,,3.8,Data refers to a 5-year period preceding the reference year.
72,Botswana,2010,Rural population (percent growth rate per annum),,,-1.5,Data refers to a 5-year period preceding the reference year.
72,Botswana,2015,Urban population (percent),,,67.2,
72,Botswana,2015,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.
72,Botswana,2015,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.
72,Botswana,2018,Urban population (percent),,,69.4,
72,Botswana,2018,Capital city population (thousands),Gaborone,,269,
76,Brazil,2005,Urban population (percent),,,82.8,
76,Brazil,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
76,Brazil,2005,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
76,Brazil,2005,Capital city population (thousands),Brasilia,,"3,301","Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2005,Capital city population (as a percentage of total population),Brasilia,,1.8,"Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2005,Capital city population (as a percentage of total urban population),Brasilia,,2.1,"Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2010,Urban population (percent),,,84.3,
76,Brazil,2010,Urban population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
76,Brazil,2010,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.
76,Brazil,2010,Capital city population (thousands),Brasilia,,"3,710","Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2010,Capital city population (as a percentage of total population),Brasilia,,1.9,"Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2010,Capital city population (as a percentage of total urban population),Brasilia,,2.2,"Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2015,Urban population (percent),,,85.8,
76,Brazil,2015,Urban population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
76,Brazil,2015,Rural population (percent growth rate per annum),,,-1,Data refers to a 5-year period preceding the reference year.
76,Brazil,2015,Capital city population (thousands),Brasilia,,"4,168","Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2015,Capital city population (as a percentage of total population),Brasilia,,2,"Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2015,Capital city population (as a percentage of total urban population),Brasilia,,2.4,"Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
76,Brazil,2018,Urban population (percent),,,86.6,
76,Brazil,2018,Capital city population (thousands),Brasilia,,"4,470","Refers to the ""Região Integrada de Desenvolvimento do Distrito Federal e Entorno""."
92,British Virgin Islands,2005,Urban population (percent),,,43.2,
92,British Virgin Islands,2005,Urban population (percent growth rate per annum),,,3,Data refers to a 5-year period preceding the reference year.
92,British Virgin Islands,2005,Rural population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
92,British Virgin Islands,2010,Urban population (percent),,,44.8,
92,British Virgin Islands,2010,Urban population (percent growth rate per annum),,,4,Data refers to a 5-year period preceding the reference year.
92,British Virgin Islands,2010,Rural population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
92,British Virgin Islands,2015,Urban population (percent),,,46.6,
92,British Virgin Islands,2015,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.
92,British Virgin Islands,2015,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
92,British Virgin Islands,2018,Urban population (percent),,,47.7,
92,British Virgin Islands,2018,Capital city population (thousands),Road Town,,15,
96,Brunei Darussalam,2005,Urban population (percent),,,73.2,
96,Brunei Darussalam,2005,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
96,Brunei Darussalam,2005,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
96,Brunei Darussalam,2010,Urban population (percent),,,75,
96,Brunei Darussalam,2010,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
96,Brunei Darussalam,2010,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
96,Brunei Darussalam,2015,Urban population (percent),,,76.7,
96,Brunei Darussalam,2015,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
96,Brunei Darussalam,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
96,Brunei Darussalam,2018,Urban population (percent),,,77.6,
96,Brunei Darussalam,2018,Capital city population (thousands),Bandar Seri Begawan,,41,
100,Bulgaria,2005,Urban population (percent),,,70.6,
100,Bulgaria,2005,Urban population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
100,Bulgaria,2005,Rural population (percent growth rate per annum),,,-1.9,Data refers to a 5-year period preceding the reference year.
100,Bulgaria,2005,Capital city population (thousands),Sofia,,"1,169",
100,Bulgaria,2005,Capital city population (as a percentage of total population),Sofia,,15.2,
100,Bulgaria,2005,Capital city population (as a percentage of total urban population),Sofia,,21.6,
100,Bulgaria,2010,Urban population (percent),,,72.3,
100,Bulgaria,2010,Urban population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
100,Bulgaria,2010,Rural population (percent growth rate per annum),,,-1.9,Data refers to a 5-year period preceding the reference year.
100,Bulgaria,2010,Capital city population (thousands),Sofia,,"1,216",
100,Bulgaria,2010,Capital city population (as a percentage of total population),Sofia,,16.4,
100,Bulgaria,2010,Capital city population (as a percentage of total urban population),Sofia,,22.7,
100,Bulgaria,2015,Urban population (percent),,,74,
100,Bulgaria,2015,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
100,Bulgaria,2015,Rural population (percent growth rate per annum),,,-1.9,Data refers to a 5-year period preceding the reference year.
100,Bulgaria,2015,Capital city population (thousands),Sofia,,"1,256",
100,Bulgaria,2015,Capital city population (as a percentage of total population),Sofia,,17.5,
100,Bulgaria,2015,Capital city population (as a percentage of total urban population),Sofia,,23.6,
100,Bulgaria,2018,Urban population (percent),,,75,
100,Bulgaria,2018,Capital city population (thousands),Sofia,,"1,272",
854,Burkina Faso,2005,Urban population (percent),,,21.5,
854,Burkina Faso,2005,Urban population (percent growth rate per annum),,,6.7,Data refers to a 5-year period preceding the reference year.
854,Burkina Faso,2005,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
854,Burkina Faso,2005,Capital city population (thousands),Ouagadougou,,"1,328",
854,Burkina Faso,2005,Capital city population (as a percentage of total population),Ouagadougou,,9.9,
854,Burkina Faso,2005,Capital city population (as a percentage of total urban population),Ouagadougou,,45.9,
854,Burkina Faso,2010,Urban population (percent),,,24.6,
854,Burkina Faso,2010,Urban population (percent growth rate per annum),,,5.7,Data refers to a 5-year period preceding the reference year.
854,Burkina Faso,2010,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
854,Burkina Faso,2010,Capital city population (thousands),Ouagadougou,,"1,742",
854,Burkina Faso,2010,Capital city population (as a percentage of total population),Ouagadougou,,11.2,
854,Burkina Faso,2010,Capital city population (as a percentage of total urban population),Ouagadougou,,45.3,
854,Burkina Faso,2015,Urban population (percent),,,27.5,
854,Burkina Faso,2015,Urban population (percent growth rate per annum),,,5.2,Data refers to a 5-year period preceding the reference year.
854,Burkina Faso,2015,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
854,Burkina Faso,2015,Capital city population (thousands),Ouagadougou,,"2,200",
854,Burkina Faso,2015,Capital city population (as a percentage of total population),Ouagadougou,,12.2,
854,Burkina Faso,2015,Capital city population (as a percentage of total urban population),Ouagadougou,,44.1,
854,Burkina Faso,2018,Urban population (percent),,,29.4,
854,Burkina Faso,2018,Capital city population (thousands),Ouagadougou,,"2,531",
108,Burundi,2005,Urban population (percent),,,9.4,
108,Burundi,2005,Urban population (percent growth rate per annum),,,5.5,Data refers to a 5-year period preceding the reference year.
108,Burundi,2005,Rural population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
108,Burundi,2005,Capital city population (thousands),Bujumbura,,412,
108,Burundi,2005,Capital city population (as a percentage of total population),Bujumbura,,5.6,
108,Burundi,2005,Capital city population (as a percentage of total urban population),Bujumbura,,59.2,
108,Burundi,2010,Urban population (percent),,,10.6,
